"","Mar 19","Dec 18","Sep 18","Jun 18","Mar 18","Dec 17","Sep 17","Jun 17","Mar 17","Dec 16","Sep 16","Jun 16","Mar 16","Dec 15","Sep 15","Jun 15","Mar 15","Dec 14","Sep 14","Jun 14","Mar 14","Dec 13","Sep 13","Jun 13","Mar 13","Dec 12","Sep 12","Jun 12","Mar 12","Dec 11","Sep 11","Jun 11","Mar 11","Dec 10","Sep 10","Jun 10","Mar 10","Dec 09","Sep 09","Jun 09","Mar 09","Dec 08","Sep 08","Jun 08","Mar 08","Dec 07"
"Net Sales/Income from operations","1594.28","1457.60","1203.27","1081.23","1944.35","1417.28","1526.74","1805.77","1234.85","1309.83","1277.92","1020.81","942.35","1027.38","1539.07","1048.16","933.62","922.82","849.50","854.01","801.08","801.84","794.10","1638.78","771.51","868.23","697.58","773.82","617.10","655.37","587.76","516.08","573.53","450.77","413.51","415.65","420.54","337.84","327.37","306.77","284.51","300.89","296.00","253.73","328.65","5"
"Other Operating Income",,,,,,,,,,"14.67","23.95","34.35",,"32.93","20.60","16.94","26.66","30.91","260.77","24.72","69.15","78.13","83.69","79.01","143.68","23.95","66.69","15.59","24.78","35.25","31.96","13.55","31.41",,,,,,,,,,,,,
"Total Income From Operations","1594.28","1457.60","1203.27","1081.23","1944.35","1417.28","1526.74","1805.77","1234.85","1324.50","1301.87","1055.16","942.35","1060.31","1559.67","1065.10","960.28","953.73","1110.27","878.73","870.23","879.97","877.79","1717.79","915.19","892.18","764.27","789.41","641.88","690.62","619.72","529.62","604.94","450.77","413.51","415.65","420.54","337.84","327.37","306.77","284.51","300.89","296.00","253.73","328.65","5"
"EXPENDITURE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consumption of Raw Materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purchase of Traded Goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Increase/Decrease in Stocks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Power & Fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employees Cost","71.36","51.26","56.16","52.11","48.39","46.67","42.87","55.85","50.09","55.22","56.65","49.03","46.03","43.04","50.53","39.32","39.03","49.33","40.15","29.05","29.22","37.43","25.58","24.77","24.32","24.44","30.98","24.64","21.65","23.04","23.66","20.57","16.92","14.83","19.36","14.72","15.92","14.18","12.68","11.30","10.46","8.91","8.73","8.61","8.71","12"
"Depreciation","126.15","111.49","121.88","114.69","116.55","113.88","120.84","126.43","136.20","135.86","133.31","135.34","118.85","143.56","132.03","124.88","120.10","125.88","122.99","119.65","109.22","121.76","120.03","104.70","97.22","91.47","81.02","77.74","76.74","70.19","67.86","58.71","58.64","53.12","48.48","47.63","50.13","43.31","38.92","35.78","39.14","34.75","32.18","31.16","29.15","6"
"Excise Duty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Admin. And Selling Expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.01","15.87","17.62","22.39","25.58","2"
"R & D Expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provisions And Contingencies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exp. Capitalised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Expenses","335.11","59.80","783.14","588.75","850.83","109.91","323.59","622.72","98.73","343.44","254.91","284.89","279.16","279.82","300.48","273.52","280.41","279.59","328.42","246.91","273.15","273.81","231.93","709.82","238.51","215.77","162.36","164.74","162.69","186.15","185.45","146.18","146.39","126.13","120.43","111.40","152.52","90.61","80.97","75.36","64.44","87.28","64.05","45.64","59.46","11"
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1061.66","1235.05","242.09","325.68","928.58","1146.82","1039.44","1000.77","949.83","789.98","857.00","585.90","498.31","593.89","1076.63","627.38","520.74","498.93","618.71","483.12","458.64","446.97","500.25","878.50","555.14","560.50","489.91","522.29","380.80","411.23","342.76","304.17","382.98","256.69","225.24","241.92","201.98","189.75","194.79","184.33","126.46","154.08","173.42","145.93","205.75","15"
"Other Income","572.35","465.78","852.45","452.32","478.36","407.59","380.50","340.87","395.88","283.36","295.91","272.00","382.68","282.81","263.02","236.00","177.38","224.96","169.06","164.06","171.42","172.04","250.08","86.21","115.97","35.18","30.57","21.53","8.35","2.82","6.68","0.41","42.93","0.87","9.48","0.77","4.67","1.86","9.97","14.58","16.90","2.39","7.78","20.04","20.91","8"
"P/L Before Int., Excpt. Items & Tax","1634.01","1700.83","1094.54","778.00","1406.94","1554.41","1419.94","1341.64","1345.71","1073.34","1152.91","857.90","880.99","876.70","1339.65","863.38","698.12","723.89","787.77","647.18","630.06","619.01","750.33","964.71","671.11","595.68","520.48","543.82","389.15","414.05","349.44","304.58","425.91","257.57","234.72","242.68","206.64","191.61","204.76","198.91","143.35","156.47","181.20","165.97","226.66","1"
"Interest","491.36","457.59","250.17","222.72","390.87","314.54","367.47","384.00","416.39","264.66","217.65","238.22","152.16","212.58","259.85","229.86","183.59","187.84","227.48","109.88","45.74","103.21","327.13","277.78","121.65","158.16","52.46","109.63","29.74","78.31","46.44","33.15","36.88","13.27","9.16","24.68","-0.30","8.06","20.35","13.35","-11.35","49.51","55.18","39.60","31.95","7"
"P/L Before Exceptional Items & Tax","1142.65","1243.24","844.37","555.28","1016.07","1239.87","1052.47","957.64","929.32","808.68","935.26","619.68","728.83","664.12","1079.80","633.52","514.53","536.05","560.29","537.30","584.32","515.80","423.20","686.93","549.46","437.52","468.02","434.19","359.41","335.75","303.00","271.43","389.02","244.30","225.56","218.00","206.94","183.55","184.41","185.56","154.70","106.95","126.02","126.36","194.71","14"
"Exceptional Items","-121.90",,,,,"-297.38",,,,"-64.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P/L Before Tax","1020.75","1243.24","844.37","555.28","1016.07","942.49","1052.47","957.64","929.32","744.34","935.26","619.68","728.83","664.12","1079.80","633.52","514.53","536.05","560.29","537.30","584.32","515.80","423.20","686.93","549.46","437.52","468.02","434.19","359.41","335.75","303.00","271.43","389.02","244.30","225.56","218.00","206.94","183.55","184.41","185.56","154.70","106.95","126.02","126.36","194.71","14"
"Tax","346.27","326.92","156.81","195.92","315.48","416.50","370.62","366.93","91.83",,"18.59","16.84","75.51","27.98","20.29","17.61","-39.94","-58.15","30.92","32.20","55.97","38.75","75.58","23.78","58.69","22.09","38.46","15.77","20.53","25.15","29.58","17.06","54.29","15.84","13.89","6.70","14.76","20.29","9.62","14.80","3.51","6.14","13.74","29.56","103.61","4"
"P/L After Tax from Ordinary Activities","674.48","916.32","687.56","359.36","700.59","525.99","681.85","590.71","837.49","744.34","916.67","602.84","653.32","636.14","1059.51","615.91","554.47","594.20","529.37","505.10","528.35","477.05","347.62","663.15","490.77","415.43","429.56","418.42","338.88","310.60","273.42","254.37","334.73","228.47","211.67","211.30","192.18","163.26","174.79","170.76","151.19","100.81","112.28","96.80","91.10","10"
"Prior Year Adjustments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extra Ordinary Items",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Profit/(Loss) For the Period","674.48","916.32","687.56","359.36","700.59","525.99","681.85","590.71","837.49","744.34","916.67","602.84","653.32","636.14","1059.51","615.91","554.47","594.20","529.37","505.10","528.35","477.05","347.62","663.15","490.77","415.43","429.56","418.42","338.88","310.60","273.42","254.37","334.73","228.47","211.67","211.30","192.18","163.26","174.79","170.76","151.19","100.81","112.28","96.80","91.10","10"
"Equity Share Capital","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.19","414.01","414.01","414.01","414.01","414.01","414.01","414.01","414.01","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","400.68","9"
"Reserves Excluding Revaluation Reserves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3084.76",,,,,,,,,
"Equity Dividend Rate (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EPS Before Extra Ordinary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS- EPS Before Extra Ordinary","3.26","4.42","3.32","1.74","3.38","2.54","3.29","2.85","4.04","3.59","4.43","2.91","3.15","3.07","5.12","2.97","2.68","2.87","2.56","2.44","2.55","2.30","1.68","3.28","2.45","2.07","2.14","2.09","1.69","1.55","1.36","1.27","1.67",,,"5.27",,,,,,,,,,
"Diluted EPS- EPS Before Extra Ordinary","3.26","4.42","3.32","1.74","3.38","2.54","3.29","2.85","4.04","3.59","4.43","2.91","3.15","3.07","5.12","2.97","2.68","2.87","2.56","2.44","2.55","2.30","1.68","3.28","2.45","2.07","2.14","2.09","1.69","1.55","1.36","1.27","1.67",,,"5.27",,,,,,,,,,
"EPS After Extra Ordinary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS- EPS After Extra Ordinary","3.26","4.42","3.32","1.74","3.38","2.54","3.29","2.85","4.04","3.59","4.43","2.91","3.15","3.07","5.12","2.97","2.68","2.87","2.56","2.44","2.55","2.30","1.68","3.28","2.45","2.07","2.14","2.09","1.69","1.55","1.36","1.27","1.67",,,"5.27",,,,,,,,,,
"Diluted EPS- EPS After Extra Ordinary","3.26","4.42","3.32","1.74","3.38","2.54","3.29","2.85","4.04","3.59","4.43","2.91","3.15","3.07","5.12","2.97","2.68","2.87","2.56","2.44","2.55","2.30","1.68","3.28","2.45","2.07","2.14","2.09","1.69","1.55","1.36","1.27","1.67",,,"5.27",,,,,,,,,,
"Public Share Holding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No Of Shares (Crores)",,,,,,,,,,,,,,,,"90.58","51.75","51.75","51.75","51.75","51.75","51.75","51.75","51.75","45.09","45.09","45.09","45.09","45.09","45.09","45.09","46.09","45.09","45.09","45.09","9.02","7.95","7.60","7.60","7.60","7.53","7.53","7.49","7.49","7.49","13"
"Share Holding (%)",,,,,,,,,,,,,,,,"43.74","25.00","25.00","25.00","25.00","25.00","25.00","25.00","25.00","22.50","22.50","22.50","22.50","22.50","22.50","22.50","22.50","22.50","22.50","22.50","22.50","19.83","18.96","18.96","18.96","18.80","18.79","18.70","18.70","18.70","3"
"Promoters and Promoter Group Shareholding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a) Pledged/Encumbered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Number of shares (Crores)- Pledged_Encumbered",,,,,,,,,,,,,,,,"34.99","12.13","12.13","12.13","8.33","3.70",,,,,,,,,,,,,,,"1.36",,,,,,,,,,
"- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered",,,,,,,,,,,,,,,,"30.03","7.81","7.81","7.81","5.36","2.39",,,,,,,,,,,,,,,"4.39",,,,,,,,,,
"- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered",,,,,,,,,,,,,,,,"16.90","5.86","5.86","5.86","4.02","1.79",,,,,,,,,,,,,,,"3.40",,,,,,,,,,
"b) Non-encumbered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Number of shares (Crores)- Non_encumbered",,,,,,,,,,,,,,,,"81.53","143.12","143.12","143.12","146.92","151.55","155.25","155.25","155.25","155.25","155.25","155.25","155.25","155.25","155.25","155.25","155.25","155.25",,,"29.69",,,,,,,,,,
"- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered",,,,,,,,,,,,,,,,"69.97","92.19","92.19","92.19","94.64","97.61","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",,,"95.61",,,,,,,,,,
"- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered",,,,,,,,,,,,,,,,"39.36","69.14","69.14","69.14","70.98","73.21","72.00","75.00","75.00","77.50","77.50","77.50","77.50","77.50","77.50","77.50","77.50","77.50",,,"74.10",,,,,,,,,,
